Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
7,1,436,450,443,330,426,414,413,357,562,384,359,271,403,427,413,382,510,440,251,482,472,328
7,0,398,350,204,347,465,231,450,445,470,413,420,399,296,305,488,416,434,297,593,125,357,280
7,0,388,331,507,240,421,325,329,135,482,190,325,241,421,531,347,339,403,347,319,300,356,396
6,1,403,451,362,566,434,391,293,419,324,412,430,426,288,478,379,384,496,499,317,488,566,419
6,1,396,453,405,524,563,420,485,271,335,633,351,438,457,616,188,475,382,359,555,300,274,339
7,0,405,346,426,319,176,385,420,206,401,204,284,355,445,316,356,339,291,430,632,378,491,474
6,1,407,457,521,465,347,316,481,332,420,550,424,449,366,461,255,669,479,487,528,724,577,476
7,1,441,450,564,380,384,131,623,453,343,573,452,525,613,440,402,358,375,523,324,393,378,471
6,0,351,350,117,425,422,215,327,390,268,228,482,280,397,280,209,484,292,252,403,562,373,283
6,0,447,350,312,407,513,230,536,334,572,302,339,307,403,247,438,541,311,377,367,346,612,250
6,1,383,489,314,531,445,410,346,467,455,379,314,407,299,581,312,535,355,479,368,536,471,562
6,0,365,350,526,406,317,343,441,455,462,309,410,330,353,440,462,358,408,424,316,436,551,567
6,1,397,452,380,440,378,350,325,299,335,376,378,271,353,470,473,584,389,425,636,326,545,308
7,0,407,343,274,459,444,244,325,426,445,240,331,384,421,366,462,327,444,424,252,335,560,344
6,1,410,465,425,362,492,583,436,431,400,456,218,464,233,416,523,522,531,335,362,372,379,435
6,0,428,350,378,381,426,185,425,360,526,423,506,452,570,422,394,335,478,414,582,375,431,310
7,0,414,323,354,264,451,181,526,252,424,181,440,353,515,433,133,413,521,105,423,377,517,369
6,0,381,350,436,350,613,490,497,508,474,425,535,304,546,223,419,290,358,313,654,392,258,505
7,1,406,450,458,474,409,611,313,375,443,294,443,491,342,396,245,531,536,606,548,328,423,319
6,1,400,450,271,542,498,383,449,495,388,324,487,373,298,454,402,501,556,307,486,596,391,471
7,1,350,450,287,397,491,467,397,355,348,527,241,453,265,341,606,482,430,558,279,516,541,239
6,1,394,455,365,299,343,519,330,339,355,481,387,342,490,517,328,519,424,440,291,392,278,336
7,1,368,450,469,318,279,793,376,315,262,451,423,368,309,471,524,528,456,521,392,474,337,645
6,0,387,350,474,461,368,379,423,302,288,445,509,466,266,421,278,412,269,439,401,319,365,266
6,0,411,350,412,240,267,409,441,241,186,98,299,214,489,519,343,540,398,242,535,546,354,317
6,1,389,468,235,449,286,472,345,565,233,486,423,603,247,551,321,521,400,507,481,425,302,580
7,1,382,450,187,566,542,386,262,686,213,389,197,307,352,496,572,482,534,401,280,514,519,265
6,0,391,350,485,235,390,491,379,481,377,340,425,402,161,239,486,234,369,395,395,368,606,233
7,1,404,450,285,508,232,508,348,461,238,528,340,536,167,443,276,535,397,364,441,433,368,264
6,1,396,452,340,393,555,630,385,566,523,519,368,322,329,524,416,429,573,490,417,516,418,333
7,1,403,450,240,447,452,480,425,593,338,488,435,425,471,345,383,562,304,273,386,603,425,255
7,0,407,342,634,309,357,180,418,137,410,419,337,360,463,325,358,416,447,412,317,457,541,205
7,1,426,450,442,324,377,305,480,538,582,464,389,380,331,634,561,465,506,500,548,423,444,425
7,0,407,343,386,242,348,404,511,355,537,420,487,559,473,386,377,211,518,414,137,329,364,457
6,1,410,463,349,666,651,498,424,457,334,297,291,524,351,307,310,441,389,534,483,507,211,517
6,0,447,350,421,403,486,203,340,338,370,457,404,517,558,195,534,225,354,299,584,249,451,167
7,0,411,334,372,399,356,463,298,291,688,346,401,373,437,371,473,160,409,247,394,424,414,366
7,0,392,340,228,439,509,380,340,350,410,327,225,108,416,286,385,276,410,527,337,431,422,499
6,1,396,452,416,390,205,562,145,490,458,602,352,283,545,588,379,256,181,370,611,400,579,465
7,0,404,348,435,447,292,368,501,400,226,350,471,201,447,247,313,535,255,281,407,328,416,379
6,0,416,350,503,317,316,402,570,495,624,165,407,341,488,243,349,351,485,306,355,210,438,600
6,1,408,460,275,351,380,229,472,316,347,453,396,349,649,525,364,377,355,518,376,500,321,631
6,0,432,350,448,173,391,240,420,448,298,260,545,324,395,323,499,395,329,364,312,220,477,425
7,1,385,450,313,449,376,447,333,454,499,410,642,456,448,333,387,424,268,613,385,299,334,361
7,0,398,349,554,455,340,425,664,399,474,325,370,599,417,393,374,375,364,407,316,598,420,394
7,1,411,450,578,484,381,343,310,520,449,375,485,621,294,481,269,523,438,523,501,608,327,243
6,0,361,350,214,434,284,338,166,194,462,315,253,221,230,354,468,310,289,245,440,436,271,404
6,1,407,456,497,477,330,545,397,542,448,500,469,394,443,312,386,527,448,620,475,741,513,416
7,1,375,450,416,344,638,529,428,420,481,424,416,366,459,449,372,526,269,408,360,347,498,331
7,1,354,450,368,625,451,522,329,557,449,596,408,431,557,416,405,552,416,550,126,565,211,427
7,1,395,450,356,676,368,595,484,602,496,603,478,383,621,285,430,455,484,385,398,403,368,448
6,1,404,453,403,418,361,467,309,380,283,543,414,362,613,534,238,501,492,689,479,492,488,510
7,1,432,450,440,416,485,582,387,541,451,498,455,481,473,431,501,369,369,548,202,596,537,397
6,1,388,469,396,503,347,500,477,360,472,418,420,281,450,369,362,523,395,323,372,575,300,560
6,0,435,350,557,267,371,340,361,318,335,359,389,374,327,206,443,330,472,355,425,187,425,402
6,0,405,350,472,426,260,346,298,313,488,465,275,438,278,386,502,328,401,333,419,380,338,470
7,1,400,450,281,528,360,468,277,520,375,573,299,479,456,401,324,410,89,760,344,436,469,410
7,0,392,340,396,214,305,409,455,418,514,149,430,473,441,470,290,434,510,500,379,303,384,330
6,0,390,350,508,286,466,371,373,403,379,390,496,422,368,366,428,453,349,372,466,334,423,354
7,0,399,350,405,443,220,419,274,264,583,415,475,197,415,511,463,317,571,424,529,318,448,303
7,1,442,450,382,541,494,418,494,460,356,375,637,396,449,641,385,494,486,541,371,434,453,491
7,0,387,328,200,316,288,284,397,315,458,404,539,565,545,181,418,369,437,445,356,479,348,330
6,0,411,350,463,462,488,380,333,210,510,402,528,235,289,306,245,293,446,162,447,378,370,516
7,0,392,341,405,430,307,350,331,284,461,236,274,206,295,157,538,290,538,451,398,296,239,397
7,0,402,349,398,460,438,232,450,196,464,337,377,290,594,446,265,446,456,401,323,241,458,343
7,0,395,347,574,289,407,322,345,281,375,376,329,325,309,359,474,416,476,347,520,379,520,213
6,1,382,494,308,633,469,499,509,384,339,477,419,324,431,580,333,621,426,617,499,311,318,532
6,0,394,350,560,397,372,482,424,434,408,338,404,377,533,343,572,443,517,287,356,302,519,329
6,1,409,461,588,348,611,338,416,587,385,296,326,459,554,553,248,279,342,477,265,184,412,413
6,1,387,472,345,479,479,353,586,559,338,577,406,437,290,219,382,510,222,556,477,538,419,393
6,1,398,451,250,489,444,445,289,419,614,431,373,421,609,537,334,529,459,519,470,527,501,593
6,0,428,350,413,214,335,309,313,236,269,595,471,278,304,431,424,412,214,344,373,373,558,208
7,0,394,345,123,390,343,373,377,402,360,356,517,112,402,154,379,633,386,447,604,327,440,344
6,1,417,490,375,612,262,460,275,528,312,574,495,540,178,480,402,401,453,619,521,473,259,385
6,1,413,473,253,398,398,401,298,697,542,402,478,543,710,379,482,567,443,531,462,376,418,664
6,1,397,451,476,483,300,465,365,381,432,678,337,568,359,551,443,317,467,559,586,496,458,543
