Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
7,1,412,450,361,406,519,525,303,527,527,484,531,421,506,476,349,251,365,543,491,321,556,355
6,0,445,350,461,396,381,360,474,365,427,465,557,390,232,451,353,438,470,456,501,376,389,221
6,0,448,350,420,510,445,586,539,440,484,342,395,245,492,276,419,343,367,270,270,256,595,209
7,0,400,350,400,221,568,383,331,300,157,239,415,440,446,303,358,441,323,236,358,362,430,300
7,0,393,343,347,405,341,256,431,453,443,531,431,426,244,142,441,378,515,192,413,299,319,200
7,1,364,450,554,545,352,457,196,508,354,422,490,599,361,443,331,536,320,545,484,541,425,518
6,1,407,456,454,473,556,495,229,419,472,447,337,505,633,471,494,512,546,484,362,390,524,584
7,0,383,311,448,254,466,483,295,394,508,215,201,320,565,269,349,217,534,325,296,441,396,339
6,1,407,458,474,650,472,545,489,394,550,343,509,597,340,340,483,348,392,373,211,460,443,218
7,1,437,450,439,338,486,505,407,439,375,329,246,492,464,317,371,496,391,496,343,409,679,405
6,1,407,457,481,552,352,417,225,324,356,349,619,373,402,362,314,406,381,576,208,401,343,482
7,0,412,331,557,358,297,323,442,374,544,156,306,147,406,440,240,266,438,374,440,378,347,264
6,1,393,457,548,625,180,351,475,592,381,199,490,494,138,430,319,614,476,397,340,450,521,394
6,0,353,350,286,399,399,421,495,338,427,458,360,215,245,306,394,363,402,288,248,217,375,421
6,1,407,457,308,508,401,585,329,460,485,602,307,537,415,610,449,401,306,525,277,492,436,532
6,0,376,350,339,311,359,377,417,317,278,411,315,319,400,427,355,299,287,344,415,226,164,332
6,0,388,350,324,278,366,447,488,371,348,256,340,293,352,214,346,564,339,219,421,386,326,347
6,1,401,450,546,418,247,531,562,430,585,333,418,394,377,557,422,296,366,522,432,348,363,332
6,0,435,350,291,418,445,243,592,484,486,405,414,417,395,479,514,386,381,398,401,390,478,325
7,1,397,450,272,489,221,581,247,492,395,324,316,270,284,222,539,390,338,346,440,330,270,451
6,1,398,450,310,640,391,661,377,501,540,430,305,310,543,496,491,421,341,519,527,465,211,479
6,0,404,350,420,347,417,178,394,480,284,275,643,363,320,364,460,448,435,339,410,468,468,408
7,0,400,350,330,385,489,284,290,335,322,341,167,404,446,229,152,286,412,384,454,202,348,216
6,1,415,480,447,366,337,600,395,483,441,619,347,420,389,410,418,496,427,462,566,256,426,335
7,0,400,350,347,420,157,309,185,545,366,330,541,322,226,235,233,428,435,394,504,354,424,439
6,1,390,464,368,360,336,598,506,493,182,495,424,547,247,379,442,463,455,593,473,426,419,559
7,1,382,450,469,494,301,377,353,475,543,307,455,333,252,383,479,465,283,567,496,410,485,488
7,1,368,450,422,342,567,629,272,431,276,490,423,185,351,399,553,522,276,480,441,342,516,480
7,1,400,450,469,470,231,479,367,337,102,342,273,399,299,290,341,569,221,513,425,539,328,370
7,1,378,450,358,742,472,392,474,492,376,487,437,507,404,528,405,606,401,431,430,360,452,311
7,1,356,450,250,509,179,366,259,499,299,555,363,292,389,511,241,551,442,475,210,568,320,389
7,1,390,450,340,310,361,356,338,405,374,406,503,283,61,479,521,425,414,476,302,466,513,420
7,0,397,349,353,172,356,377,392,326,503,372,396,397,218,183,564,156,465,266,437,359,280,593
7,0,414,324,383,420,251,289,373,419,345,394,526,491,396,253,411,500,402,352,236,332,435,374
7,1,412,450,368,280,401,535,534,366,234,341,375,505,386,399,535,430,465,591,452,527,463,703
7,1,437,450,403,395,589,614,717,473,391,281,416,476,297,293,504,473,386,598,399,476,441,238
7,0,388,329,542,422,165,265,359,383,344,317,281,335,301,161,384,185,253,378,413,414,421,293
6,0,355,350,354,441,318,298,337,362,492,410,391,449,289,439,246,312,239,118,406,276,376,340
6,0,442,350,366,408,279,497,591,304,444,407,475,421,574,459,369,454,402,219,366,562,321,240
7,0,416,315,301,332,431,401,598,331,407,274,449,167,383,502,575,229,202,167,387,286,316,379
6,0,441,350,441,186,404,330,591,423,338,305,460,202,425,249,423,367,450,445,441,398,556,414
6,0,362,350,330,268,273,230,433,474,413,257,516,403,469,267,316,352,381,283,321,471,363,534
7,1,356,450,561,475,427,601,503,295,434,506,384,318,481,468,529,443,162,492,391,532,399,533
7,1,355,450,262,411,404,397,403,482,326,645,338,415,205,387,319,483,254,327,358,395,388,376
7,0,406,346,514,193,293,328,318,502,283,432,307,305,440,444,326,504,278,366,410,486,456,461
6,0,387,350,521,475,256,397,193,451,438,403,209,242,576,426,179,278,471,315,425,392,381,283
7,0,398,349,315,493,346,325,556,575,368,257,520,337,556,637,453,415,576,298,349,278,374,598
