Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
1,1,363,450,463,370,395,404,447,467,345,465,321,429,334,532,209,450,43,374,209,529,370,465
0,1,278,450,246,496,365,516,90,490,151,596,151,409,191,417,358,279,300,417,187,523,346,445
0,0,368,350,374,410,258,284,242,365,321,230,343,125,380,415,300,454,496,131,307,164,272,403
1,1,422,450,401,549,400,435,423,323,495,352,159,443,506,482,448,394,347,572,370,327,319,449
1,1,417,450,394,323,288,531,457,681,465,510,350,573,435,480,522,445,541,362,323,373,357,471
1,0,435,350,377,137,441,414,489,385,452,420,616,280,509,435,396,267,306,274,364,522,429,425
1,0,297,350,230,316,267,332,137,199,177,306,324,443,263,329,211,412,484,317,179,391,277,417
0,0,388,350,326,359,327,316,285,336,327,199,331,183,412,336,256,418,420,219,362,557,254,264
0,0,385,350,464,470,414,379,258,477,406,409,563,312,312,312,502,329,341,422,465,517,324,344
1,1,409,450,499,427,486,446,324,506,108,470,535,325,170,348,344,617,361,332,617,566,668,479
0,1,272,450,405,603,461,229,400,556,119,500,318,527,289,532,182,375,364,436,259,292,306,399
0,0,445,350,384,481,521,509,313,310,499,319,367,380,464,507,564,279,416,183,520,607,441,292
1,1,376,450,404,314,292,348,234,437,411,409,548,624,345,522,374,485,371,587,341,452,485,497
1,1,448,450,266,438,514,402,228,366,378,289,206,370,321,348,585,426,473,483,424,434,274,330
0,0,398,350,340,269,442,332,246,330,279,220,332,392,356,257,268,311,429,356,659,289,273,253
0,0,428,350,568,304,508,377,396,221,423,303,339,472,430,403,248,439,474,326,473,100,557,286
1,0,546,350,488,189,427,357,411,325,446,424,595,393,499,380,475,371,524,308,607,437,556,567
0,0,439,350,432,347,285,420,489,420,451,407,446,280,199,324,522,399,216,271,546,497,497,276
1,0,504,350,529,398,528,564,516,470,414,397,429,337,612,270,395,309,614,395,432,481,348,458
0,0,383,350,281,363,459,431,438,464,304,391,235,349,471,424,341,278,202,405,508,425,219,324
1,0,426,350,507,439,435,375,426,346,408,411,400,459,509,437,315,454,348,326,461,361,435,370
1,0,266,350,353,607,172,462,221,462,187,383,263,259,176,389,50,258,181,144,81,130,129,340
0,1,541,450,528,403,602,419,461,621,717,414,429,503,569,528,525,217,504,426,514,547,499,447
1,1,356,450,415,482,169,369,495,429,393,563,285,569,508,368,590,583,393,490,317,400,289,415
1,0,277,350,352,318,228,237,322,330,446,358,324,314,287,139,197,417,340,420,287,393,276,285
0,1,401,450,277,409,557,394,408,433,320,472,355,430,336,526,479,289,479,501,505,649,552,427
0,1,387,450,420,366,329,532,514,494,373,371,520,562,571,516,370,302,348,416,479,503,234,376
0,1,393,450,448,409,468,435,370,451,375,421,421,412,566,638,401,431,147,438,329,414,461,349
1,1,351,450,177,545,267,423,338,356,557,503,560,429,371,368,345,589,232,479,385,282,319,311
0,0,412,350,516,487,338,332,352,187,404,209,290,392,362,274,283,496,481,496,366,330,417,340
0,1,385,450,507,484,635,506,412,482,475,431,315,572,503,382,379,600,462,602,184,535,250,532
1,0,506,350,488,287,406,274,566,501,509,269,483,402,354,399,328,264,399,355,477,278,470,268
0,0,390,350,416,368,270,173,438,495,485,294,447,245,579,124,229,422,413,245,457,379,430,587
0,0,363,350,504,436,488,367,378,448,240,415,448,402,446,384,356,313,315,469,308,289,362,414
0,0,433,350,401,443,481,527,329,274,349,293,372,480,572,409,463,492,386,250,269,474,516,311
0,0,417,350,622,371,342,442,501,470,421,338,434,268,371,201,412,304,354,395,445,314,499,364
0,0,400,350,551,264,381,255,383,404,311,229,469,191,331,548,344,370,384,305,436,210,450,348
1,0,398,350,611,292,381,275,521,433,394,321,378,516,468,297,415,453,308,420,295,445,282,232
1,0,374,350,375,217,242,199,474,360,391,145,297,260,496,573,471,407,472,354,310,253,378,469
1,1,352,450,399,483,289,608,455,473,341,354,384,391,295,414,340,472,331,532,304,788,327,550
1,0,469,350,621,320,488,422,517,272,396,326,417,471,469,254,664,250,344,348,518,515,218,335
0,1,330,450,297,468,294,344,437,483,219,533,272,476,282,395,262,494,442,346,377,616,153,685
0,1,462,450,496,471,311,486,608,317,293,286,410,483,539,507,652,443,613,354,549,650,544,558
1,1,413,450,387,645,601,398,503,349,393,246,387,445,282,376,361,476,111,391,231,440,623,434
0,0,406,350,373,273,359,431,398,389,363,282,535,354,500,390,364,264,350,240,310,481,376,323
1,1,369,450,314,311,468,507,456,507,367,541,383,538,283,480,401,341,284,567,366,485,331,580
1,1,395,450,394,584,335,379,324,530,327,667,602,414,291,383,359,461,418,349,150,462,363,372
0,1,453,450,539,358,307,548,560,365,519,441,562,349,577,382,447,359,457,374,569,450,283,518
0,1,461,450,454,549,522,442,600,562,474,672,406,403,479,386,303,458,489,610,371,500,290,562
1,0,271,350,128,412,66,476,205,257,222,471,280,342,382,545,251,521,296,375,148,400,113,257
0,1,373,450,371,538,389,448,366,337,431,493,442,525,238,290,482,344,438,440,447,553,356,474
1,0,483,350,501,244,396,483,372,404,426,176,361,430,507,394,440,360,388,322,561,189,478,211
1,0,400,350,471,438,581,318,400,199,360,237,563,322,421,251,267,122,477,186,519,428,273,281
0,0,368,350,327,221,277,259,275,371,221,334,288,367,440,423,309,432,426,288,536,465,487,211
1,0,540,350,657,330,428,433,660,302,591,609,522,340,768,330,430,323,512,193,354,386,427,461
1,1,428,450,285,291,411,324,269,369,344,275,486,473,294,560,392,429,275,192,524,534,244,506
1,1,390,450,527,504,452,414,470,460,416,501,399,402,425,663,369,547,470,523,260,302,335,591
1,0,502,350,588,273,544,397,485,340,599,495,438,509,446,310,556,428,411,193,481,398,536,343
0,0,433,350,535,339,453,331,227,466,300,311,463,307,478,485,447,415,269,287,485,489,424,379
0,1,520,450,552,439,647,513,407,527,506,222,436,367,581,484,440,634,525,519,318,302,605,568
0,0,425,350,317,569,414,453,402,299,398,370,435,415,471,413,324,462,397,266,401,443,509,468
0,0,353,350,445,493,466,444,322,406,317,531,298,255,516,356,338,380,285,529,520,254,126,346
1,1,416,450,382,556,282,489,408,387,414,280,538,388,499,445,470,442,572,381,540,647,310,574
0,0,362,350,283,440,335,310,447,309,239,131,372,159,340,426,339,263,337,366,405,301,391,424
1,1,438,450,357,384,574,482,328,669,317,345,368,694,577,413,467,387,552,305,335,489,317,454
0,1,478,450,455,326,480,396,496,252,478,350,474,372,533,546,450,621,462,485,509,515,522,551
1,1,414,450,455,341,306,452,484,359,308,546,421,544,415,511,562,430,373,425,172,310,604,292
0,0,383,350,277,205,353,470,337,461,289,282,350,390,509,424,396,293,454,344,246,431,239,330
0,0,399,350,428,348,339,227,443,388,418,277,425,247,536,169,407,369,359,398,400,164,300,294
1,0,511,350,345,448,408,317,310,407,589,323,532,347,451,272,676,330,553,371,466,312,332,486
0,0,429,350,434,209,397,302,413,177,422,303,470,448,250,501,390,421,447,496,403,269,628,414
1,0,465,350,303,484,362,283,369,516,366,376,589,400,478,526,407,352,372,170,477,204,464,443
1,1,398,450,410,468,255,419,503,274,247,436,346,546,342,494,356,519,449,364,531,413,388,460
0,1,277,450,334,288,200,545,298,515,257,521,412,389,124,585,130,374,253,298,212,511,311,332
1,1,431,450,263,286,406,545,429,480,487,374,588,609,297,390,503,439,328,555,475,394,485,294
1,0,549,350,394,260,513,429,544,348,536,226,576,371,435,283,572,202,639,348,645,372,639,330
0,0,413,350,411,402,382,481,395,451,493,346,534,409,378,291,436,243,380,323,341,261,365,274
1,1,385,450,386,416,332,523,285,348,509,498,219,449,518,465,337,432,483,525,337,467,319,659
1,1,445,450,496,334,318,463,462,482,384,532,301,447,510,595,455,419,266,463,519,526,588,573
1,1,365,450,395,493,229,333,479,404,256,590,306,376,316,342,303,363,370,593,359,299,333,422
1,0,368,350,473,398,493,338,247,138,336,287,339,310,311,371,291,337,414,393,460,277,381,494
0,1,361,450,270,629,387,514,435,494,494,297,287,340,458,553,200,426,559,455,418,607,249,275
1,1,434,450,614,381,448,588,346,485,562,483,419,502,271,422,473,364,391,378,489,390,524,574
1,1,415,450,402,490,443,362,448,516,607,375,464,519,476,536,339,488,441,535,323,496,370,403
0,1,397,450,373,350,367,367,420,330,425,417,603,530,419,492,441,87,368,346,186,309,418,395
0,1,313,450,498,402,404,431,313,436,113,425,292,575,346,341,289,401,194,609,230,546,240,683
1,0,450,350,529,338,525,403,517,373,360,140,399,480,625,303,312,425,409,373,237,246,458,463
0,1,314,450,435,298,303,387,234,433,324,352,313,548,292,552,366,326,383,527,256,565,359,479
0,0,385,350,270,203,348,198,277,343,327,355,464,439,338,325,232,529,158,286,243,458,231,194
0,0,414,350,320,406,464,336,465,145,310,357,412,276,478,413,584,252,378,277,350,335,207,302
1,0,286,350,56,315,320,261,306,110,432,354,238,413,447,283,418,238,214,376,259,427,138,534
1,1,369,450,387,463,540,499,346,383,297,245,394,619,471,251,544,460,392,243,360,490,409,540
0,1,455,450,198,530,557,444,480,437,485,390,356,367,665,459,256,536,509,539,390,410,595,599
1,1,401,450,373,605,226,425,383,628,473,386,280,766,386,461,528,364,513,598,431,425,418,477
0,1,512,450,586,340,594,438,432,479,377,486,520,498,773,343,371,327,613,580,452,538,665,492
1,1,375,450,469,425,312,464,194,517,312,397,217,314,363,583,270,600,491,379,320,232,593,509
1,0,496,350,672,367,371,369,547,406,487,545,488,514,500,143,417,92,649,392,562,302,603,353
0,1,493,450,377,307,458,477,592,493,560,269,410,476,597,428,569,369,473,505,522,401,648,452
1,1,364,450,285,361,237,381,572,394,275,344,429,382,246,503,507,619,484,477,462,544,344,432
0,0,412,350,378,380,409,307,409,76,491,420,410,341,366,257,466,448,496,312,248,385,454,307
1,0,545,350,602,488,681,364,491,550,582,397,518,302,552,222,627,310,707,332,520,506,470,263
1,0,471,350,434,291,603,197,417,351,414,209,538,403,514,445,339,572,461,349,496,250,584,267
0,0,415,350,465,276,381,443,447,436,385,353,456,500,235,522,313,538,363,314,389,284,505,354
1,0,447,350,542,367,402,307,434,321,445,328,560,464,243,314,554,647,625,318,350,318,544,306
0,0,441,350,438,356,176,435,542,329,255,399,252,398,404,393,372,57,456,344,419,148,358,119
0,1,316,450,366,654,215,358,282,498,166,351,496,586,333,424,340,567,333,356,349,345,220,317
0,1,520,450,390,628,546,531,455,467,371,501,558,381,488,525,740,693,495,417,591,572,550,324
1,1,399,450,577,543,735,406,554,490,382,363,341,351,476,528,451,522,428,409,533,415,478,434
0,0,436,350,553,334,446,346,650,473,451,420,479,274,448,323,489,410,462,352,479,336,351,419
1,0,372,350,182,319,340,321,215,264,426,377,340,356,525,157,393,343,330,348,332,271,330,292
0,1,443,450,553,618,427,282,633,534,444,452,575,471,419,248,262,513,343,385,357,392,588,446
1,0,472,350,469,226,453,286,572,127,577,244,541,282,648,200,588,495,441,164,457,261,441,463
0,1,374,450,330,374,469,501,444,477,271,450,280,407,172,439,450,452,449,340,476,583,395,556
0,1,329,450,444,456,347,430,284,449,466,600,381,485,366,424,397,518,407,496,78,429,392,446
1,1,385,450,423,451,313,479,456,397,427,385,387,441,418,450,302,576,184,338,414,445,383,402
0,0,425,350,559,299,262,305,470,321,267,315,357,282,411,301,356,300,247,274,427,164,656,557
1,1,417,450,406,313,364,370,337,313,440,517,481,395,458,304,457,543,376,213,416,522,515,499
1,1,380,450,309,560,468,437,548,359,262,444,361,296,392,351,212,484,389,303,382,437,479,401
