Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
4,0,379,350,539,409,309,460,593,413,263,322,222,386,466,178,582,250,296,430,330,528,366,392
5,1,432,450,441,402,366,481,303,400,662,506,426,414,403,396,690,462,430,417,421,586,333,513
4,0,399,350,465,260,169,447,323,398,493,243,390,319,684,291,269,143,559,261,442,374,355,410
5,0,400,350,387,423,251,368,421,468,313,312,452,314,399,450,282,269,417,269,477,377,406,174
4,1,400,450,472,428,414,424,376,434,490,467,547,576,333,537,480,250,434,347,383,550,306,406
4,1,400,450,407,488,294,549,488,429,346,486,394,366,625,450,221,544,484,498,416,577,311,528
4,0,427,350,375,247,253,314,380,37,327,356,355,315,573,323,366,260,454,280,510,248,328,340
4,1,400,450,307,604,392,425,209,390,531,456,421,405,444,499,188,529,446,424,412,491,432,364
5,1,358,450,84,457,551,541,293,475,258,453,391,568,261,409,269,518,244,472,322,490,350,409
4,1,400,450,361,537,459,371,366,464,439,423,343,515,436,610,413,458,367,360,482,423,445,397
5,0,400,350,390,204,433,187,496,329,354,461,692,390,491,313,295,520,332,265,454,376,522,327
5,0,400,350,210,510,321,275,531,326,507,318,339,556,252,228,295,357,391,322,385,282,371,309
5,1,375,450,295,447,409,559,376,385,385,248,356,378,326,545,430,481,459,488,510,487,318,454
4,1,400,450,532,593,364,379,413,462,402,264,501,362,225,466,435,537,442,560,475,396,394,271
4,1,400,450,573,351,502,413,491,618,455,602,468,376,369,429,492,403,333,455,349,432,412,502
4,1,400,450,478,353,349,420,445,573,483,474,561,519,198,575,217,388,309,328,407,552,365,516
5,1,406,450,463,404,235,583,379,526,314,587,433,522,302,269,355,348,375,376,414,613,354,421
5,1,443,450,401,476,591,487,463,710,414,477,347,461,459,447,416,328,681,290,446,420,425,414
5,0,400,350,445,282,274,272,430,445,419,386,451,330,361,291,592,404,444,274,513,380,437,308
5,1,358,450,447,359,350,482,268,330,225,580,580,473,460,358,219,548,238,447,231,442,287,362
5,0,400,350,243,326,381,396,377,377,389,534,419,422,259,451,447,367,372,382,297,285,286,447
4,1,400,450,536,369,460,458,334,320,459,559,370,508,532,499,509,346,545,420,466,458,308,352
5,1,378,450,363,609,564,371,468,298,388,471,338,407,275,453,280,418,519,263,381,412,470,408
4,1,400,450,510,377,408,332,418,543,319,485,515,547,271,302,307,605,216,244,512,535,347,578
5,1,440,450,375,386,540,479,457,410,551,533,434,405,386,502,365,528,505,442,345,578,387,518
4,0,386,350,423,221,556,478,394,375,380,413,356,454,419,369,313,425,302,314,608,265,422,339
5,1,444,450,459,655,536,517,460,582,516,448,532,434,584,573,420,458,363,425,363,534,633,531
4,1,400,450,357,552,404,249,405,486,444,386,281,376,297,544,434,230,316,481,344,471,290,575
5,0,400,350,363,331,642,329,457,499,442,515,412,317,433,384,574,420,429,493,541,364,319,215
5,0,400,350,489,353,496,328,433,156,353,450,462,466,333,305,322,163,327,161,427,421,498,298
5,0,400,350,475,514,450,401,372,344,299,296,589,441,462,340,377,309,440,261,490,197,373,108
5,0,400,350,375,382,340,443,499,415,334,325,294,176,441,439,418,617,480,253,553,501,400,586
5,0,400,350,330,262,344,355,543,518,333,332,555,251,393,312,417,59,328,366,303,197,187,426
5,1,421,450,413,467,366,459,594,312,517,547,453,488,411,512,404,598,217,401,381,545,471,390
5,0,400,350,466,409,278,465,398,554,259,83,465,263,370,458,173,220,577,268,203,322,340,172
4,1,400,450,207,408,496,463,372,353,358,463,380,396,384,467,349,606,502,581,430,468,389,500
5,1,391,450,580,533,282,449,403,350,298,669,500,662,424,499,399,654,174,519,527,418,309,440
4,1,400,450,441,497,327,382,301,413,327,328,503,357,607,395,470,509,461,431,450,568,363,434
4,1,400,450,338,517,416,581,362,464,363,396,524,394,441,581,584,433,537,561,216,540,477,287
5,1,437,450,480,646,543,261,242,397,468,545,461,483,586,499,480,477,493,373,439,383,582,435
4,1,400,450,482,455,412,406,466,263,383,517,492,299,495,651,318,388,362,487,478,491,345,183
5,1,397,450,515,438,322,358,369,530,276,535,342,314,315,490,283,563,233,564,381,367,366,398
4,1,400,450,390,406,400,399,419,588,354,565,345,203,408,326,471,506,510,521,386,549,334,380
5,1,393,450,428,506,56,476,451,420,661,431,496,455,540,606,416,354,365,421,196,553,509,318
4,0,367,350,453,395,144,418,408,413,275,410,435,264,369,368,358,283,371,302,398,283,318,383
5,0,400,350,474,394,369,425,432,359,298,479,343,298,611,108,467,270,487,318,420,398,470,261
4,0,407,350,250,503,463,346,426,270,404,423,294,413,260,256,483,280,387,433,432,453,376,328
4,0,351,350,221,402,273,387,227,489,350,264,242,319,298,390,535,354,266,404,286,322,278,232
4,0,447,350,477,274,463,222,458,505,480,356,354,221,320,240,382,344,497,292,372,297,370,237
4,1,400,450,421,328,399,434,323,392,312,560,318,583,332,492,514,455,229,445,629,346,435,476
5,0,400,350,456,303,235,421,450,345,328,166,400,396,314,367,439,301,364,383,516,256,360,199
5,1,437,450,442,353,374,353,458,499,433,341,419,369,344,553,374,378,545,421,479,578,501,596
4,0,391,350,341,380,475,374,382,288,260,202,222,277,327,468,262,357,378,525,449,275,332,301
4,1,400,450,239,187,370,395,427,409,422,514,508,457,321,299,381,511,405,261,488,306,518,453
5,0,400,350,275,350,383,336,405,354,480,355,507,289,396,326,544,424,434,274,286,433,542,240
4,1,400,450,305,399,322,634,531,500,447,465,478,414,389,497,561,485,286,348,298,381,294,387
4,0,359,350,193,305,614,268,596,431,447,341,212,428,416,411,305,458,290,400,386,538,309,403
5,0,400,350,338,221,510,379,533,261,147,309,348,355,400,336,277,552,532,367,402,337,400,222
4,0,415,350,383,216,297,294,463,428,500,335,560,426,360,413,453,405,488,231,539,203,445,389
4,1,400,450,517,483,488,370,302,437,306,477,470,468,369,493,406,440,443,403,558,402,420,548
4,0,412,350,576,372,541,437,508,286,510,405,529,413,266,463,343,360,131,243,394,461,527,464
5,0,400,350,508,471,335,395,455,213,393,429,413,293,358,317,360,324,488,432,364,325,263,338
5,1,353,450,311,594,387,354,349,385,621,397,260,366,276,552,249,575,257,514,369,474,114,337
5,1,366,450,263,387,364,458,312,482,455,455,401,630,317,531,478,516,432,711,275,427,257,280
4,0,384,350,385,271,320,234,448,294,246,240,381,396,346,287,406,385,432,297,382,288,226,379
5,0,400,350,419,473,356,205,470,392,277,383,380,280,476,480,246,546,400,267,426,391,395,127
4,0,365,350,350,345,375,323,189,367,252,491,299,395,342,385,434,388,335,279,450,408,402,208
4,0,411,350,354,306,369,321,393,479,675,443,279,300,524,477,388,321,396,376,554,397,601,473
4,1,400,450,457,403,281,456,271,449,499,400,377,312,465,447,443,492,377,445,518,406,309,408
5,0,400,350,352,465,371,420,425,329,315,232,396,282,396,275,412,341,522,447,310,444,269,469
5,1,413,450,382,534,473,335,391,426,272,455,566,546,490,395,356,408,584,379,302,452,435,375
5,0,400,350,320,388,347,433,237,445,263,317,394,354,350,310,326,456,238,416,404,423,172,462
4,0,379,350,421,444,331,262,239,263,370,198,331,349,483,257,415,390,370,300,259,311,260,277
5,1,409,450,415,489,380,476,380,575,380,320,486,526,561,490,304,524,357,335,256,667,270,388
5,0,400,350,434,315,446,462,201,365,402,204,410,271,326,245,494,389,494,279,419,271,310,166
4,0,361,350,418,363,288,398,191,325,479,435,393,238,505,403,336,241,463,283,169,279,299,280
5,1,355,450,405,420,462,441,260,414,417,477,253,450,627,471,309,551,165,499,190,487,283,376
5,0,400,350,578,185,473,286,325,261,520,397,402,404,262,521,421,330,523,359,427,119,589,420
4,0,409,350,260,446,308,361,408,398,444,270,489,125,413,386,404,493,315,383,423,22,501,434
5,0,400,350,589,252,427,371,435,133,432,298,453,378,371,211,305,516,290,227,343,438,339,263
5,1,393,450,290,530,501,361,342,473,318,529,389,654,430,261,425,353,462,474,451,453,438,534
5,1,421,450,368,423,336,440,379,522,555,561,537,509,250,487,452,400,635,684,443,417,515,350
5,1,429,450,310,391,402,452,469,549,322,186,511,417,411,634,411,615,313,523,396,498,255,344
5,0,400,350,348,396,331,257,622,418,311,468,447,260,354,514,394,158,284,170,463,148,352,172
5,0,400,350,530,568,511,465,297,286,542,372,459,395,525,383,440,446,284,191,287,378,490,409
4,0,388,350,431,236,589,439,459,320,324,61,515,422,567,254,432,386,242,359,462,408,335,386
5,1,355,450,364,406,387,347,357,515,359,358,271,557,330,556,555,370,366,591,456,421,287,295
5,0,400,350,456,305,393,372,406,194,426,101,459,464,390,280,283,488,352,371,236,512,209,245
5,1,404,450,501,487,492,523,369,400,252,394,499,392,506,536,347,249,245,579,458,368,312,406
4,1,400,450,446,524,526,408,248,408,317,571,411,599,256,300,248,472,423,450,205,499,306,496
4,1,400,450,542,331,396,591,353,226,379,294,359,381,361,544,420,519,306,357,367,695,347,479
5,0,400,350,418,168,357,276,516,222,393,522,379,322,496,85,389,451,516,408,224,390,469,343
5,1,363,450,410,515,471,485,395,446,401,393,258,580,414,489,300,504,358,434,480,544,285,485
4,0,407,350,527,691,147,179,444,255,400,220,419,87,408,247,425,238,667,510,501,340,452,367
4,0,385,350,392,391,624,355,444,225,386,270,407,433,436,397,430,408,396,351,391,241,315,385
5,0,400,350,322,134,383,412,299,407,205,266,208,348,458,459,525,218,425,252,352,424,529,318
5,0,400,350,527,527,323,251,351,544,448,416,341,267,357,437,381,285,344,303,424,432,287,388
4,0,418,350,429,406,275,399,445,146,452,354,411,357,337,156,493,467,255,343,331,349,551,474
5,1,356,450,439,358,335,469,530,558,490,490,389,417,434,442,388,431,408,258,370,620,426,520
5,0,400,350,417,476,367,320,602,385,382,261,419,372,414,218,292,348,359,313,374,214,420,471
5,1,439,450,380,316,402,331,464,584,268,595,511,401,498,441,309,448,482,358,453,443,442,379
5,1,393,450,307,506,464,436,366,519,343,555,369,402,417,399,361,424,317,314,438,470,366,537
5,1,395,450,523,495,406,453,308,268,471,591,271,370,297,582,418,595,247,430,433,422,319,492
4,1,400,450,332,491,402,404,250,526,457,453,366,433,475,532,442,559,598,493,325,417,405,365
5,1,384,450,355,423,339,404,357,521,354,348,522,655,354,404,484,151,420,189,493,649,292,504
5,1,377,450,478,387,221,521,522,444,393,379,429,545,368,570,373,533,328,363,387,319,385,379
4,0,378,350,411,444,266,361,451,257,388,329,369,344,553,385,340,436,216,242,407,384,361,242
4,1,400,450,380,519,601,334,471,546,388,514,416,398,463,415,298,610,267,567,238,526,383,358
4,1,400,450,379,372,542,402,289,487,245,278,657,378,165,513,187,523,387,377,389,511,300,350
4,1,400,450,409,435,388,442,405,551,288,515,386,210,368,734,329,532,282,376,437,476,475,612
5,0,400,350,333,410,273,439,409,179,400,343,399,421,546,347,517,342,410,359,161,230,343,403
5,1,385,450,279,601,373,628,494,490,563,601,526,467,302,413,294,573,354,441,575,447,328,613
4,0,365,350,410,304,262,390,368,223,340,320,523,342,566,420,572,472,290,256,295,396,634,534
5,1,442,450,459,615,534,258,433,549,378,353,413,523,491,493,271,328,403,302,438,317,514,417
5,0,400,350,430,449,364,517,362,470,294,256,438,237,285,88,482,336,440,318,377,361,395,351
5,1,365,450,497,481,298,116,422,463,303,706,177,319,381,474,337,377,474,436,426,397,286,404
5,1,386,450,349,490,490,442,333,502,438,328,324,434,196,554,512,341,414,477,347,430,426,523
5,0,400,350,392,448,567,237,364,365,461,397,307,331,264,228,393,519,329,254,515,251,187,261
4,1,400,450,469,366,383,470,477,557,365,318,460,306,550,358,414,514,314,618,590,373,557,488
5,0,400,350,236,475,451,512,320,257,451,468,448,190,228,320,453,201,431,269,325,271,358,266
5,0,400,350,321,177,360,532,312,441,363,240,397,474,502,417,437,450,480,289,186,333,500,347
5,1,365,450,328,459,420,248,326,436,386,547,333,313,518,485,209,357,436,415,360,473,441,570
5,0,400,350,396,307,352,347,358,209,326,368,582,466,263,114,346,353,319,331,361,223,246,210
5,0,400,350,264,337,394,220,189,482,296,361,369,250,321,166,526,376,519,285,492,271,390,347
4,0,442,350,646,385,378,335,369,211,280,533,368,336,353,487,241,345,519,451,265,285,671,523
5,1,380,450,427,383,312,578,533,392,374,556,432,478,263,458,75,525,534,486,377,631,404,429
4,1,400,450,342,364,482,623,512,537,395,235,373,465,401,383,246,492,421,474,292,556,458,476
4,0,351,350,464,483,194,230,325,339,239,313,280,229,362,398,470,369,180,276,377,494,323,255
4,1,400,450,440,542,503,512,566,551,549,509,373,560,266,386,455,463,506,430,211,382,389,400
5,1,444,450,524,452,318,470,462,605,466,464,275,489,501,516,453,556,378,485,428,419,344,480
5,0,400,350,214,340,463,247,354,339,315,291,247,281,228,262,272,246,403,368,504,311,308,262
4,0,432,350,522,286,442,286,398,412,369,228,343,342,322,453,483,421,548,328,426,234,514,408
4,0,406,350,303,270,403,341,441,295,384,406,375,240,483,147,542,341,528,419,331,267,307,298
5,1,352,450,370,520,379,518,371,514,306,545,319,473,364,506,353,408,391,460,265,496,239,422
4,1,400,450,357,509,514,625,391,345,538,424,439,524,521,366,427,456,427,387,404,532,79,443
4,1,400,450,313,428,322,533,369,514,533,365,382,482,345,365,459,598,366,295,515,471,302,552
4,0,437,350,364,367,398,290,601,417,644,311,370,371,495,363,538,182,488,269,423,588,423,453
4,1,400,450,320,530,524,324,348,572,364,365,505,398,254,465,387,331,503,285,431,413,456,484
5,1,391,450,605,616,307,235,435,453,490,517,256,471,411,379,364,426,391,337,448,442,431,629
5,0,400,350,309,472,488,408,340,526,295,361,270,378,394,289,361,368,367,378,349,340,458,413
5,1,439,450,473,617,522,449,412,308,552,541,459,377,496,437,543,296,402,343,196,466,347,474
5,0,400,350,486,530,524,431,394,237,344,396,287,469,461,297,450,359,463,376,264,259,374,426
4,0,411,350,312,425,248,210,517,299,397,256,401,185,473,621,519,450,326,434,317,233,536,352
4,1,400,450,371,569,375,568,345,566,225,322,505,392,422,630,395,393,358,417,268,515,466,479
4,0,427,350,361,313,274,445,564,342,472,289,463,269,242,532,394,260,492,326,445,426,294,348
5,1,409,450,301,580,234,543,415,408,322,451,276,235,571,391,261,429,329,404,391,486,427,530
5,1,424,450,399,346,469,369,397,454,542,700,425,427,214,531,602,464,477,509,463,180,359,422
4,1,400,450,259,334,526,488,400,514,391,340,239,385,451,430,364,370,234,544,302,387,453,464
4,1,400,450,212,471,502,355,425,465,455,469,390,505,333,430,369,571,390,452,514,432,389,339
5,1,388,450,496,400,469,348,322,408,473,735,462,532,543,537,465,397,473,410,376,303,468,432
5,1,429,450,494,405,377,504,383,412,457,496,663,540,308,429,434,478,391,511,446,431,461,413
5,0,400,350,254,399,371,357,443,465,395,346,606,311,407,336,299,416,485,460,536,123,445,116
5,1,376,450,429,380,221,439,385,411,298,511,223,577,379,360,377,558,304,537,417,496,384,387
4,1,400,450,166,521,448,386,365,580,442,409,396,551,336,426,403,325,551,532,345,324,300,579
5,1,366,450,442,399,346,461,447,477,392,442,362,239,228,410,227,498,375,485,409,349,354,344
4,1,400,450,474,463,315,295,374,327,297,442,399,432,395,479,506,386,469,395,226,496,366,499
4,0,394,350,559,278,414,354,516,244,457,456,400,390,291,273,545,234,551,455,510,335,358,493
5,1,400,450,547,652,180,456,342,512,348,262,413,388,424,431,476,447,445,501,332,412,378,348
4,1,400,450,390,361,468,260,346,476,385,272,523,590,552,409,238,439,529,335,412,455,358,147
4,0,354,350,435,329,384,298,395,299,276,282,314,182,219,393,365,182,423,432,412,396,307,420
5,0,400,350,437,369,472,166,495,489,532,211,367,370,388,377,345,253,416,269,422,277,408,243
5,0,400,350,318,511,511,517,396,519,341,364,403,355,499,282,522,318,317,318,342,320,569,311
4,0,433,350,403,421,535,423,446,332,363,275,234,482,366,332,669,372,360,454,446,403,516,416
5,1,421,450,430,426,388,284,448,558,457,615,576,482,333,413,325,302,479,425,346,540,366,406
4,1,400,450,311,561,342,322,333,269,350,410,255,593,160,567,462,554,558,358,463,501,343,355
5,1,387,450,342,313,378,397,294,629,276,446,345,389,416,204,455,352,487,545,482,427,522,362
4,1,400,450,308,357,283,366,338,297,570,499,425,546,605,390,342,328,481,464,507,521,315,481
4,1,400,450,620,479,380,552,367,465,374,270,394,439,291,488,371,592,342,498,337,508,492,314
4,1,400,450,264,577,393,455,488,579,534,403,326,429,475,444,152,402,380,464,441,538,471,417
5,0,400,350,430,493,489,612,450,356,260,478,281,290,324,310,516,213,329,383,586,581,279,334
4,0,374,350,271,468,393,365,460,223,293,338,157,347,360,275,327,311,451,412,373,391,391,422
4,1,400,450,344,540,420,360,364,543,462,410,433,585,418,491,434,354,332,614,338,365,280,394
5,0,400,350,241,400,259,394,519,400,517,428,455,181,404,138,459,243,195,477,493,276,450,165
4,0,377,350,332,284,326,316,409,369,328,341,424,187,393,259,339,329,377,247,623,309,412,185
4,0,363,350,339,224,257,167,402,332,133,457,208,366,270,403,434,309,455,384,305,359,382,363
5,1,363,450,354,339,302,537,365,653,466,513,369,408,317,455,433,284,337,623,296,341,311,453
5,1,423,450,433,481,247,438,399,468,394,690,482,323,388,513,580,477,389,684,286,376,343,680
4,0,392,350,546,236,405,98,354,442,341,240,430,333,428,160,420,337,217,333,497,400,398,437
4,1,400,450,525,538,319,400,510,452,475,400,488,469,484,424,501,500,394,406,438,247,414,510
4,0,427,350,425,332,329,383,545,385,574,258,482,367,352,151,418,306,348,490,263,312,487,263
5,0,400,350,371,485,499,256,539,234,417,419,415,312,332,272,443,650,389,457,343,374,538,300
5,0,400,350,454,251,417,280,422,338,495,329,357,344,579,341,458,238,354,275,315,314,216,439
4,0,364,350,351,333,315,323,403,224,400,217,206,397,449,294,285,134,363,410,245,443,289,227
5,0,400,350,449,518,463,371,289,400,503,259,476,435,296,475,389,347,465,404,482,220,374,429
4,1,400,450,461,466,433,528,233,389,358,292,397,606,262,446,500,286,278,382,457,347,441,352
5,0,400,350,322,375,483,344,432,441,387,488,498,310,496,294,604,504,508,414,489,358,423,415
4,0,402,350,374,53,364,444,388,460,401,264,418,278,434,257,279,74,323,437,360,400,318,193
4,0,443,350,336,190,265,523,592,285,408,410,562,457,547,326,466,391,405,509,581,416,299,355
5,1,385,450,404,459,379,383,468,450,261,518,180,375,461,289,317,324,396,420,376,359,406,515
4,0,436,350,454,533,396,335,401,220,473,302,603,380,313,523,464,310,487,330,323,441,237,504
4,1,400,450,464,433,511,494,366,447,372,400,556,336,312,568,265,267,417,448,540,621,452,463
4,1,400,450,364,656,357,386,355,514,224,442,430,507,447,259,331,413,367,433,363,491,345,572
4,0,392,350,398,424,344,529,401,527,459,373,300,180,425,401,301,410,385,427,435,207,476,402
4,0,398,350,285,263,357,302,354,331,365,405,343,443,309,657,294,315,495,513,341,320,362,506
5,0,400,350,278,608,427,394,391,316,283,329,485,434,425,306,296,233,243,361,460,309,484,241
4,1,400,450,296,420,485,425,424,416,331,522,470,425,345,643,334,339,424,461,454,472,289,662
5,0,400,350,418,401,511,351,247,323,555,387,320,309,716,269,253,397,439,261,300,392,397,301
4,1,400,450,345,424,505,355,278,462,313,592,397,434,566,647,403,535,553,407,505,449,431,518
5,0,400,350,575,525,519,496,369,106,422,270,425,463,475,484,261,375,441,389,420,231,476,317
4,1,400,450,427,275,320,528,439,318,523,380,349,538,434,453,213,356,420,575,465,393,292,392
4,0,421,350,384,389,421,389,306,297,472,368,436,346,594,147,470,315,447,363,517,318,444,324
5,1,448,450,371,137,510,370,458,274,501,518,358,387,376,235,456,380,272,514,426,379,490,516
5,0,400,350,457,105,243,424,555,371,371,234,365,191,538,295,411,438,460,364,342,257,321,446
4,0,391,350,297,303,476,157,394,338,451,347,450,232,486,293,289,417,586,421,419,491,176,694
5,0,400,350,405,342,394,421,475,302,404,325,485,448,317,354,546,258,459,389,377,343,334,336
4,1,400,450,471,398,542,584,467,406,491,448,397,519,387,351,514,366,507,249,431,426,511,308
4,1,400,450,381,470,390,333,412,482,323,490,370,457,499,426,347,446,410,395,378,336,444,499
5,0,400,350,303,293,387,407,372,365,405,189,321,176,476,605,161,321,399,247,427,258,549,376
4,0,410,350,250,414,371,294,431,571,348,231,430,297,389,355,396,386,480,315,430,433,388,291
4,1,400,450,258,391,437,318,376,258,532,365,271,370,296,428,514,420,587,352,223,536,364,339
4,0,421,350,372,383,335,473,325,300,567,291,491,352,347,323,401,83,518,456,543,305,397,320
4,0,367,350,251,65,363,558,347,235,86,420,415,398,317,373,289,388,303,316,507,489,213,352
5,0,400,350,380,375,373,294,523,392,399,378,273,308,408,288,507,352,303,381,373,512,396,559
5,0,400,350,539,420,407,430,285,172,283,199,379,450,395,402,384,305,277,439,543,514,249,394
4,1,400,450,312,384,593,606,464,434,433,393,236,462,488,663,289,505,381,373,440,572,447,532
4,1,400,450,430,436,417,445,297,576,374,587,546,438,329,509,470,392,751,290,377,499,439,322
4,0,375,350,457,77,514,291,382,430,321,521,284,283,310,353,384,289,382,289,419,508,486,293
4,0,388,350,351,426,590,221,414,392,223,335,496,223,324,325,406,478,360,181,565,253,478,118
4,1,400,450,614,391,360,416,296,569,346,581,396,483,462,505,393,475,500,388,410,483,268,394
4,1,400,450,365,300,295,474,323,368,306,645,276,538,442,536,459,470,388,468,222,366,419,299
4,0,375,350,316,440,301,226,384,381,403,149,371,415,512,302,458,277,410,430,228,314,251,404
4,1,400,450,525,396,360,387,411,387,385,469,396,402,559,524,342,398,280,425,341,481,303,378
5,1,356,450,288,409,416,470,426,546,354,330,383,594,300,444,399,465,136,409,308,518,243,409
5,0,400,350,464,339,416,341,395,472,379,418,336,370,490,303,684,120,505,353,498,324,318,235
5,1,368,450,218,487,146,347,373,480,319,541,307,350,273,347,242,582,371,398,432,395,363,382
4,1,400,450,213,496,210,476,350,527,332,479,330,539,216,329,388,434,353,481,412,481,445,584
5,0,400,350,308,257,231,380,191,326,434,345,279,223,457,333,386,332,367,386,355,374,299,372
4,1,400,450,309,461,300,455,292,355,246,594,475,545,490,654,397,565,280,585,327,394,252,413
5,0,400,350,379,306,357,457,441,368,296,226,471,315,380,158,354,423,259,184,147,448,534,399
5,0,400,350,467,240,299,294,443,366,264,311,302,375,485,399,332,331,542,326,384,300,322,485
4,1,400,450,421,477,293,560,514,578,541,545,366,543,417,621,520,726,535,587,375,464,486,577
4,0,372,350,588,265,243,219,309,281,332,472,414,396,562,457,485,518,473,413,376,379,285,217
5,1,417,450,374,505,442,456,281,387,243,532,326,470,582,345,483,359,423,463,197,395,440,474
4,0,437,350,524,416,471,428,587,396,284,405,335,377,458,280,413,368,218,196,398,300,393,330
5,1,417,450,399,270,390,611,501,571,385,538,342,555,420,594,344,615,404,546,246,406,460,412
5,0,400,350,369,233,410,351,439,482,424,298,397,497,310,499,561,424,550,324,186,352,429,263
5,1,362,450,527,502,339,525,363,462,335,453,369,380,374,467,284,418,451,514,306,531,385,332
4,1,400,450,526,515,365,489,435,232,381,479,444,515,207,306,292,467,235,569,508,331,393,421
5,0,400,350,523,400,400,418,445,379,493,384,231,471,444,353,314,411,363,349,315,639,318,280
5,0,400,350,339,308,395,123,286,275,297,387,300,128,537,380,509,540,434,242,491,392,411,396
4,1,400,450,420,408,368,469,444,603,495,472,389,288,258,522,332,361,346,688,348,340,468,407
4,1,400,450,537,397,357,534,236,649,308,548,390,578,273,532,448,277,321,572,448,463,392,543
4,1,400,450,380,510,510,423,243,453,475,418,301,487,397,352,291,345,543,546,358,414,317,334
5,1,430,450,628,500,408,205,397,507,478,416,319,407,580,499,398,645,213,456,455,412,392,476
4,0,400,350,361,415,492,196,366,374,380,303,395,311,318,377,460,280,413,409,392,424,387,351
5,0,400,350,426,561,398,365,522,311,311,342,180,367,392,320,295,280,531,491,530,353,348,333
5,0,400,350,360,436,431,298,227,381,464,334,377,253,503,290,621,269,510,386,434,311,390,468
