Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
5,0,400,350,354,286,430,461,383,288,416,467,534,554,365,483,394,294,367,272,383,544,419,213
4,0,423,350,451,385,329,345,461,165,512,540,336,389,488,388,526,207,484,402,615,487,372,458
5,0,400,350,518,350,493,488,366,326,353,528,386,302,482,390,324,356,324,289,189,421,272,347
4,1,400,450,374,465,517,631,432,391,427,480,405,375,471,276,430,466,229,472,513,280,526,461
4,1,400,450,350,492,431,611,468,503,336,486,335,199,345,481,386,344,464,574,378,481,323,323
5,1,432,450,311,451,406,341,336,595,272,321,396,564,212,470,466,314,464,667,345,299,365,606
4,0,398,350,575,382,431,463,330,224,253,308,486,342,507,504,419,448,501,316,501,323,461,321
5,0,400,350,243,322,148,469,363,441,373,531,172,429,380,416,374,257,470,259,284,547,467,536
4,1,400,450,320,471,270,401,436,638,467,422,452,343,514,415,583,692,413,403,245,682,475,481
5,0,400,350,390,359,460,222,412,252,384,332,350,288,245,319,430,471,412,562,284,435,420,258
5,0,400,350,415,479,367,207,410,338,488,388,305,310,583,353,351,375,231,354,507,246,234,288
5,1,433,450,316,583,505,441,304,513,442,384,472,474,564,471,541,476,368,326,423,569,517,510
5,1,431,450,609,502,492,511,372,466,454,331,496,315,413,480,283,542,466,614,269,293,344,464
4,1,400,450,403,298,524,630,231,492,243,471,268,551,455,425,437,531,506,635,523,297,402,732
5,1,404,450,225,489,239,305,383,424,304,317,391,480,272,363,501,573,443,454,429,455,328,563
5,0,400,350,534,363,210,471,243,395,568,397,465,281,439,336,365,224,456,267,419,495,397,335
5,0,400,350,581,350,288,382,535,479,465,346,549,435,318,282,518,281,502,341,649,286,443,341
4,0,404,350,256,356,424,243,265,360,449,285,461,208,370,207,427,320,195,472,491,325,406,299
4,0,360,350,362,326,152,241,297,388,276,362,498,201,369,440,421,317,391,215,382,354,342,334
4,0,353,350,419,388,447,408,334,280,636,433,333,304,370,523,411,561,457,189,420,408,410,373
4,0,368,350,338,451,433,102,414,332,414,250,454,163,511,192,394,389,361,385,250,270,310,425
4,0,434,350,570,349,447,458,542,302,397,301,494,422,154,612,516,544,577,326,386,396,447,338
4,0,404,350,521,303,385,450,548,321,301,259,392,263,502,216,349,415,496,509,363,450,454,234
4,1,400,450,209,498,379,514,430,291,349,387,322,435,418,484,373,388,392,443,174,510,449,324
4,1,400,450,441,382,442,460,392,444,511,505,425,315,409,590,558,479,352,458,463,722,305,347
5,1,403,450,262,251,604,534,262,498,443,403,413,402,470,485,410,509,206,496,393,480,435,341
4,0,410,350,566,291,393,386,142,247,254,310,539,480,610,359,359,202,398,351,337,524,244,332
4,1,400,450,315,412,350,508,520,412,562,305,286,518,248,522,366,439,282,510,556,532,443,352
5,0,400,350,454,365,514,422,327,364,371,330,391,405,445,379,448,399,259,210,483,484,419,255
4,0,387,350,275,300,268,531,405,218,475,357,132,443,420,422,396,462,256,404,375,216,272,394
5,0,400,350,364,394,463,347,373,253,597,236,424,298,249,397,515,398,220,400,466,168,333,372
5,0,400,350,496,360,441,450,383,384,500,235,263,441,430,197,269,496,532,324,352,207,348,289
4,0,408,350,542,271,199,305,508,223,526,297,419,281,290,230,536,333,167,301,661,355,540,424
