Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
3,1,447,450,480,433,449,430,277,565,432,394,548,412,403,393,265,587,441,551,642,418,381,466
2,0,449,350,440,258,399,458,505,338,468,349,594,335,460,271,619,246,258,359,357,430,601,518
3,0,400,283,355,471,469,108,474,285,419,323,288,197,413,284,479,322,531,311,530,413,511,150
2,1,400,514,468,447,263,717,472,190,500,372,168,608,436,460,334,522,307,368,469,694,405,640
3,1,388,450,380,434,465,460,193,569,282,546,489,364,334,432,378,495,492,304,432,368,511,566
2,0,374,350,238,186,329,247,456,330,392,301,352,450,365,490,151,157,646,246,415,390,436,529
3,0,400,320,441,362,301,266,380,197,327,372,533,365,368,306,290,315,778,363,330,261,207,243
2,1,400,451,308,478,343,654,504,440,240,553,299,478,597,545,369,461,300,397,574,482,446,503
3,0,400,296,595,230,176,167,361,319,445,436,472,418,396,372,361,263,535,405,343,241,513,182
3,0,400,267,468,159,553,388,519,147,336,146,390,204,456,148,519,143,394,397,359,291,409,323
2,1,400,536,282,578,308,345,482,431,496,389,313,328,244,703,460,441,439,372,346,439,364,587
2,0,442,350,490,651,418,292,386,287,440,272,407,309,437,452,390,321,413,273,335,400,518,244
2,1,400,453,456,463,493,318,435,472,535,568,316,526,356,366,488,303,370,424,450,419,375,541
2,1,400,525,298,455,377,366,361,459,381,666,417,486,420,718,418,791,344,546,390,625,480,569
3,0,400,286,471,244,303,271,462,401,242,423,500,33,441,371,386,342,343,319,482,300,205,277
2,1,400,480,411,423,473,462,431,516,440,470,374,430,435,495,355,656,301,282,340,447,469,590
3,0,400,311,333,379,443,386,595,180,251,274,353,159,477,203,394,203,624,333,499,228,388,164
2,1,400,475,345,702,371,280,555,310,410,481,445,321,389,543,651,616,315,345,323,406,339,720
3,0,400,307,406,200,280,402,440,394,301,334,441,263,551,291,305,350,400,400,394,233,402,323
3,0,400,295,338,365,355,303,618,369,286,403,585,191,419,344,612,217,414,381,490,346,558,225
3,1,427,450,205,338,336,552,423,427,321,560,526,305,319,367,473,576,247,410,336,489,250,623
2,0,362,350,467,360,435,245,469,328,129,280,151,525,280,439,298,382,372,422,226,324,307,118
3,1,373,450,405,301,312,486,467,353,264,319,171,361,327,339,306,331,392,529,338,472,446,530
2,0,417,350,293,302,392,210,376,430,271,379,397,362,205,365,322,412,321,325,569,457,329,242
2,1,400,504,292,475,449,577,333,505,361,441,317,544,410,591,448,584,323,377,509,398,143,455
3,1,438,450,712,479,398,608,445,593,487,603,534,394,513,477,204,575,543,594,438,566,633,511
3,0,400,335,402,509,386,417,275,429,471,537,538,544,417,254,521,527,378,334,687,98,459,348
2,1,400,548,392,558,360,579,161,648,517,469,444,602,413,403,457,530,406,700,442,422,267,563
3,1,367,450,400,569,417,504,295,515,286,594,288,378,428,321,378,471,173,419,237,397,261,457
2,1,400,501,535,412,339,468,480,532,381,485,296,465,378,467,476,328,475,507,468,620,386,528
2,1,400,495,453,500,475,348,352,330,368,545,388,500,342,409,311,550,394,529,384,588,377,470
3,0,400,262,456,269,311,231,418,179,324,109,158,137,312,265,283,370,460,321,310,82,385,289
2,0,431,350,588,467,582,450,507,360,539,336,468,401,334,297,449,166,461,336,309,248,301,445
3,0,400,254,476,200,361,324,248,214,507,152,620,109,484,240,404,456,368,213,223,274,321,323
3,1,445,450,404,418,403,408,509,546,336,387,329,208,558,389,338,492,509,298,349,242,239,419
3,0,400,319,637,464,375,370,483,170,591,288,428,276,416,314,456,383,455,321,524,269,154,395
2,1,400,458,306,413,508,406,512,475,355,389,149,496,501,555,333,656,561,329,464,386,374,391
2,0,364,350,298,526,523,203,440,339,342,456,488,422,405,83,345,284,557,352,267,152,329,397
2,0,434,350,515,424,476,417,320,470,354,337,514,311,299,331,461,201,360,433,483,373,401,231
2,1,400,527,400,579,475,631,359,423,286,300,222,475,377,464,393,631,314,448,414,541,574,435
3,1,423,450,552,419,344,672,347,421,573,415,581,565,428,499,365,313,347,466,573,664,583,667
2,0,422,350,281,242,681,327,401,417,558,453,440,315,538,425,380,462,446,380,408,425,313,340
3,0,400,324,471,472,491,465,342,226,534,444,463,327,478,130,459,398,456,215,543,442,274,212
3,1,416,450,222,496,548,635,688,475,383,474,480,532,525,446,422,561,499,439,516,386,389,399
3,1,373,450,267,385,243,485,403,381,441,617,481,435,423,480,421,665,472,295,351,555,574,359
2,1,400,482,219,476,310,524,347,560,328,446,259,662,609,502,455,676,424,563,265,606,380,360
3,0,400,338,312,254,409,362,305,404,449,292,351,325,276,234,435,368,430,258,347,439,534,374
2,0,395,350,454,256,264,300,547,316,436,331,433,348,397,410,590,272,314,365,396,157,136,314
3,1,371,450,430,382,309,474,409,562,416,419,407,406,396,402,328,389,452,489,146,473,288,376
2,1,400,527,391,496,432,431,423,465,448,553,350,630,306,494,335,743,300,463,399,659,632,541
2,1,400,461,334,442,495,454,381,607,435,415,402,561,441,475,446,449,466,609,373,430,320,399
2,0,378,350,263,393,512,381,330,344,388,416,334,448,304,359,413,271,176,417,331,381,476,419
3,0,400,317,359,538,520,160,485,501,365,380,423,346,493,279,341,353,368,154,434,301,334,307
3,1,431,450,401,345,286,318,372,430,459,489,234,448,349,522,467,578,533,512,409,300,589,500
3,1,418,450,420,489,556,569,492,483,290,381,332,429,467,427,372,436,249,580,410,604,560,368
3,0,400,290,357,218,407,276,514,400,454,254,406,418,362,286,402,275,409,282,565,195,356,374
3,0,400,291,617,305,409,290,383,424,593,239,337,219,249,311,424,263,427,383,240,337,359,55
2,0,409,350,271,541,264,211,518,363,344,450,179,173,471,239,429,314,283,346,370,219,347,422
2,0,437,350,584,186,477,502,687,262,433,258,618,432,356,454,312,344,660,338,203,555,479,472
2,1,400,450,544,430,498,527,386,613,433,665,403,542,380,505,321,287,517,207,324,565,447,431
2,1,400,451,441,487,494,412,382,386,323,418,493,243,484,444,227,500,435,541,574,369,510,380
2,1,400,498,306,446,367,464,494,488,428,651,387,483,353,515,406,500,421,358,195,420,347,444
2,0,420,350,321,373,493,523,417,361,391,398,423,411,509,373,423,236,454,473,526,413,489,449
3,1,357,450,323,474,400,532,273,419,198,408,431,449,522,371,447,519,191,383,365,377,267,473
3,1,428,450,401,461,427,225,456,608,356,340,505,532,389,428,235,439,426,468,475,537,390,453
2,1,400,509,492,520,312,549,392,411,584,405,430,525,432,468,462,602,408,316,458,443,423,695
2,0,386,350,284,363,183,452,403,397,312,606,306,319,325,277,502,313,419,107,326,461,408,288
2,0,383,350,206,421,515,210,276,414,583,212,467,366,497,413,305,254,433,392,272,259,409,429
3,1,364,450,302,555,465,603,571,592,399,487,359,312,263,544,311,556,233,343,394,489,340,683
2,0,355,350,337,409,229,373,423,396,363,378,505,415,440,329,353,290,328,316,275,226,482,530
2,1,400,463,486,546,422,503,532,549,481,505,233,382,372,545,439,442,268,490,346,394,401,570
3,0,400,286,568,252,416,201,330,123,330,208,425,207,385,346,454,279,450,327,339,192,548,140
2,1,400,490,289,494,391,383,394,427,489,334,486,495,529,381,471,383,404,519,501,560,459,288
2,0,357,350,258,515,400,278,87,364,169,327,345,258,411,419,414,457,417,449,334,518,433,165
2,1,400,500,381,464,378,587,588,659,314,543,351,415,361,266,670,491,564,634,239,516,397,446
3,1,402,450,545,484,519,418,343,643,199,290,673,606,561,451,296,518,214,671,203,323,231,304
3,1,396,450,346,326,645,596,378,395,406,518,319,513,252,304,338,646,479,367,501,285,390,488
2,1,400,519,417,579,335,679,466,492,256,661,309,458,503,545,243,453,553,594,230,702,426,589
2,1,400,499,354,503,346,414,574,397,524,328,424,578,404,381,464,480,211,383,278,502,242,455
3,1,371,450,355,549,452,293,208,546,221,463,260,434,364,522,260,500,170,259,339,647,576,480
2,1,400,512,438,578,566,337,491,431,576,434,504,629,496,619,471,558,456,499,424,499,351,388
2,1,400,494,428,581,385,482,295,622,415,278,429,590,463,640,556,511,298,475,195,623,278,371
2,0,370,350,267,496,335,472,475,377,432,340,357,320,471,185,330,419,544,552,540,384,350,314
2,1,400,530,530,447,295,513,284,495,320,541,795,457,371,541,452,468,374,415,378,571,552,465
2,1,400,519,510,508,208,629,444,603,581,672,447,398,263,516,304,703,547,509,322,436,473,468
2,1,400,500,485,671,451,533,318,474,140,550,471,771,161,591,430,413,540,411,569,489,320,564
2,0,417,350,527,226,370,232,466,216,211,426,584,303,458,350,339,236,356,440,569,338,435,250
3,1,396,450,360,344,427,613,54,439,384,635,338,414,250,506,338,494,375,303,364,443,454,457
2,0,431,350,427,555,471,228,498,468,505,416,351,380,264,349,263,211,454,416,365,462,443,374
2,1,400,450,310,344,269,357,234,281,425,366,290,274,427,366,370,604,417,494,454,448,362,497
2,0,424,350,537,386,441,243,488,263,550,435,204,258,389,457,308,488,480,335,254,388,220,259
2,1,400,480,236,600,378,643,591,430,300,337,350,509,342,494,358,570,375,436,221,283,363,539
3,1,436,450,435,493,464,449,334,503,236,414,490,507,384,443,434,667,456,469,623,537,751,376
2,1,400,487,452,376,385,509,453,359,412,578,413,299,544,431,362,470,358,530,510,591,445,468
2,0,384,350,338,223,402,392,452,465,462,251,428,378,275,217,268,406,227,466,425,456,499,411
2,1,400,542,309,536,690,619,440,540,427,432,457,591,247,628,494,367,529,420,352,572,596,582
3,1,444,450,644,528,548,632,522,582,599,590,434,520,503,610,388,392,295,520,555,416,381,564
2,0,438,350,387,364,434,552,478,375,606,256,478,607,387,280,600,400,405,388,322,297,586,496
3,0,400,316,328,238,396,270,429,201,557,350,470,375,447,121,347,381,371,260,300,369,343,447
2,0,400,350,542,426,309,365,387,331,462,490,195,371,344,275,361,224,522,214,433,336,488,374
3,0,400,282,378,367,401,357,523,299,348,232,316,77,398,229,424,427,431,361,445,228,527,444
2,1,400,498,484,330,500,679,430,488,339,641,562,333,312,473,412,428,544,553,225,518,286,500
3,1,408,450,333,336,322,623,458,326,517,442,516,475,280,408,290,577,447,395,499,531,350,562
3,1,427,450,509,588,389,468,466,348,411,545,293,515,445,436,297,536,449,388,410,586,248,511
3,1,414,450,516,530,403,316,251,273,554,556,298,302,343,252,295,594,584,460,309,472,424,364
3,1,434,450,486,464,386,486,449,371,553,313,381,367,444,587,480,371,524,381,361,529,468,467
3,0,400,333,404,305,260,398,392,335,321,431,189,301,470,357,439,336,604,181,435,432,267,404
3,1,377,450,270,383,281,523,467,351,428,612,578,281,131,563,362,406,480,357,576,420,360,409
2,0,361,350,365,306,471,307,539,317,117,325,442,533,417,208,372,344,472,443,302,353,512,393
3,1,352,450,388,379,427,675,337,444,471,267,383,552,403,565,393,554,395,456,446,422,360,485
3,1,440,450,298,179,333,274,370,620,303,473,298,460,456,517,425,526,351,565,253,199,427,330
2,1,400,504,543,575,244,355,412,539,552,500,440,504,496,466,379,411,511,687,675,495,324,408
3,0,400,289,311,417,246,586,358,300,331,294,421,299,319,293,511,335,390,199,457,25,476,402
2,1,400,540,577,481,343,336,304,568,356,465,472,613,327,671,358,552,610,515,509,384,413,556
3,0,400,281,417,309,309,319,388,344,418,249,410,457,508,159,269,200,450,108,526,286,306,355
3,1,450,450,530,359,347,411,383,431,496,548,369,480,490,276,200,393,549,311,588,471,461,447
2,1,400,452,398,426,402,376,352,376,446,504,343,441,385,453,378,317,551,622,290,485,329,509
2,0,404,350,537,347,333,340,611,348,487,363,230,268,344,329,549,477,341,405,606,436,470,305
2,1,400,548,373,550,451,609,535,557,382,699,386,402,491,520,239,516,294,692,550,495,449,585
